Last_Update,Test_numbers,Confirmed,Deaths,Recovered,Intubated,DailyConfirmed,DailyDeaths,DailyRecovered,DailyIntubated,General DailyIntubated,Total Death/Recovered,Total Confirmed/Recovered,Daily Death/Recovered,Daily Confirmed/Recovered,Daily Intubated/Recovered,Daily Death/Intubated,Daily Confirmed/Test
2020-03-11,0,1,0,0,0,1,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-03-12,0,1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-03-13,3060,5,0,0,0,4,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.00130718954248366
2020-03-14,0,5,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-03-15,0,18,0,0,0,13,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-03-16,0,47,0,0,0,29,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-03-17,4002,98,1,0,0,51,1,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.012743628185907047
2020-03-18,2015,191,2,0,0,93,1,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.046153846153846156
2020-03-19,1981,359,4,0,0,168,2,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.08480565371024736
2020-03-20,3656,670,9,0,0,311,5,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0850656455142232
2020-03-21,2953,947,21,0,0,277,12,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0938029122925838
2020-03-22,1738,1236,30,0,0,289,9,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.16628308400460298
2020-03-23,3672,1529,37,0,0,293,7,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.07979302832244009
2020-03-24,3952,1872,44,0,0,343,7,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0867914979757085
2020-03-25,5035,2433,59,26,0,561,15,26,0,0,2.269230769230769,93.57692307692308,0.5769230769230769,21.576923076923077,0.0,0.0,0.11142005958291956
2020-03-26,7286,3629,75,26,0,1196,16,0,0,0,2.8846153846153846,139.57692307692307,0.0,0.0,0.0,0.0,0.16415042547351083
2020-03-27,7553,5698,92,42,0,2069,17,16,0,0,2.1904761904761907,135.66666666666666,1.0625,129.3125,0.0,0.0,0.2739308883887197
2020-03-28,7641,7402,108,70,309,1704,16,28,309,309,1.542857142857143,105.74285714285715,0.5714285714285714,60.857142857142854,11.035714285714286,0.05177993527508091,0.22300745975657638
2020-03-29,9982,9217,131,105,394,1815,23,35,85,85,1.2476190476190476,87.78095238095239,0.6571428571428571,51.857142857142854,2.4285714285714284,0.27058823529411763,0.18182728912041676
2020-03-30,11535,10827,168,162,523,1610,37,57,129,129,1.037037037037037,66.83333333333333,0.6491228070175439,28.24561403508772,2.263157894736842,0.2868217054263566,0.13957520589510186
2020-03-31,15422,13531,214,243,622,2704,46,81,99,99,0.8806584362139918,55.68312757201646,0.5679012345679012,33.382716049382715,1.2222222222222223,0.46464646464646464,0.17533393852937362
2020-04-01,14396,15679,277,333,692,2148,63,90,70,70,0.8318318318318318,47.08408408408408,0.7,23.866666666666667,0.7777777777777778,0.9,0.14920811336482356
2020-04-02,18757,18135,356,415,783,2456,79,82,91,91,0.8578313253012049,43.69879518072289,0.9634146341463414,29.951219512195124,1.1097560975609757,0.8681318681318682,0.13093778322759503
2020-04-03,16160,20921,425,484,867,2786,69,69,84,84,0.878099173553719,43.22520661157025,1.0,40.3768115942029,1.2173913043478262,0.8214285714285714,0.1724009900990099
2020-04-04,19664,23934,501,786,909,3013,76,302,42,42,0.6374045801526718,30.450381679389313,0.25165562913907286,9.97682119205298,0.1390728476821192,1.8095238095238095,0.15322416598860863
2020-04-05,20065,27069,574,1042,935,3135,73,256,26,26,0.5508637236084453,25.97792706333973,0.28515625,12.24609375,0.1015625,2.8076923076923075,0.15624221280837278
2020-04-06,21400,30217,649,1326,966,3148,75,284,31,31,0.4894419306184012,22.78808446455505,0.2640845070422535,11.084507042253522,0.10915492957746478,2.4193548387096775,0.14710280373831774
2020-04-07,20023,34109,725,1582,987,3892,76,256,21,21,0.4582806573957016,21.560682680151707,0.296875,15.203125,0.08203125,3.619047619047619,0.1943764670628777
2020-04-08,24900,38226,812,1846,995,4117,87,264,8,8,0.4398699891657638,20.70747562296858,0.32954545454545453,15.594696969696969,0.030303030303030304,10.875,0.16534136546184738
2020-04-09,28578,42282,908,2142,1017,4056,96,296,22,22,0.4239028944911298,19.73949579831933,0.32432432432432434,13.702702702702704,0.07432432432432433,4.363636363636363,0.14192735670795717
2020-04-10,30864,47029,1006,2423,1062,4747,98,281,45,45,0.4151877837391663,19.409409822534048,0.3487544483985765,16.893238434163703,0.1601423487544484,2.1777777777777776,0.1538037843442198
2020-04-11,33170,52167,1101,2965,1021,5138,95,542,0,-41,0.3713322091062395,17.594266441821247,0.1752767527675277,9.47970479704797,0.0,0.0,0.15489900512511307
2020-04-12,35720,56956,1198,3446,978,4789,97,481,0,-43,0.3476494486360998,16.528148578061522,0.20166320166320167,9.956340956340956,0.0,0.0,0.13407054871220606
2020-04-13,34456,61049,1296,3957,1063,4093,98,511,85,85,0.32752084912812734,15.428102097548647,0.1917808219178082,8.009784735812133,0.16634050880626222,1.1529411764705881,0.1187891804039935
2020-04-14,33070,65111,1403,4799,1087,4062,107,842,24,24,0.2923525734528027,13.567618253802875,0.12707838479809977,4.824228028503563,0.028503562945368172,4.458333333333333,0.12283035984275778
2020-04-15,34090,69392,1518,5674,1052,4281,115,875,0,-35,0.26753612971448715,12.229820232640114,0.13142857142857142,4.892571428571428,0.0,0.0,0.12557934878263421
2020-04-16,40427,74193,1643,7089,1040,4801,125,1415,0,-12,0.2317675271547468,10.465933135844265,0.08833922261484099,3.3929328621908126,0.0,0.0,0.11875726618349124
2020-04-17,40270,78546,1769,8631,1014,4353,126,1542,0,-26,0.20495886919244583,9.100451859575948,0.08171206225680934,2.82295719844358,0.0,0.0,0.10809535634467346
2020-04-18,40520,82329,1890,10453,1054,3783,121,1822,40,40,0.18080933703243088,7.876112120922223,0.066410537870472,2.07628979143798,0.021953896816684963,3.025,0.09336130306021717
