Last_Update,Test_numbers,Confirmed,Deaths,Recovered,Intubated,DailyIntubated,General DailyIntubated,DailyConfirmed,DailyDeaths,DailyRecovered
20/08/2020,92301,254520,6058,234797,735,-,-,1412,19,882
21/08/2020,92227,255723,6080,235569,722,-,-,1203,22,772
22/08/2020,93007,257032,6102,236370,762,-,-,1309,22,801
23/08/2020,80302,258249,6121,237165,783,-,-,1217,19,795
24/08/2020,95943,259692,6139,237908,796,-,-,1443,18,743
25/08/2020,98231,261194,6163,238795,811,-,-,1502,24,887
26/08/2020,100109,262507,6183,239797,841,-,-,1313,20,1002
27/08/2020,106111,263998,6209,240792,862,-,-,1491,26,995
28/08/2020,107814,265515,6245,241809,896,-,-,1517,36,1017
29/08/2020,101414,267064,6284,242812,917,-,-,1549,39,1003
30/08/2020,91302,268546,6326,243839,945,-,-,1482,42,1027
31/08/2020,110102,270133,6370,244926,961,-,-,1587,44,1087







