|||Sütunlar|||||||||||||
Satırlar|||Akdeniz-TR6|Batı Anadolu-TR5|Batı Karadeniz-TR8|Batı Marmara-TR2|Doğu Karadeniz-TR9|Doğu Marmara-TR4|Ege-TR3|Güneydoğu Anadolu-TRC|Kuzeydoğu Anadolu-TRA|Orta Anadolu-TR7|Ortadoğu Anadolu-TRB|Türkiye-TR|İstanbul-TR1|
||||||||||||||||
||||||||||||||||
Okuma Yazma Durumu|Erkek ve 14-17 ve Bilinmeyen|2019|798.0|444.0|169.0|77.0|354.0|477.0|368.0|923.0|70.0|398.0|162.0|5637.0|1397.0|
|Erkek ve 14-17 ve Okuma Yazma Bilen|2019|333403.0|227662.0|124167.0|85158.0|70031.0|220945.0|269794.0|371065.0|81621.0|123323.0|152638.0|2482312.0|422505.0|
|Erkek ve 14-17 ve Okuma Yazma Bilmeyen|2019|9.0|2.0|1.0|||5.0|4.0|20.0||1.0|2.0|50.0|6.0|
|Erkek ve 18-21 ve Bilinmeyen|2019|1186.0|596.0|232.0|148.0|605.0|773.0|700.0|1260.0|187.0|647.0|346.0|8072.0|1392.0|
|Erkek ve 18-21 ve Okuma Yazma Bilen|2019|331790.0|257764.0|144528.0|116330.0|82280.0|244852.0|308866.0|343462.0|93815.0|140612.0|156865.0|2670872.0|449708.0|
|Erkek ve 18-21 ve Okuma Yazma Bilmeyen|2019|89.0|17.0|11.0|16.0|5.0|53.0|44.0|193.0|33.0|75.0|151.0|764.0|77.0|
|Erkek ve 22-24 ve Bilinmeyen|2019|1026.0|401.0|165.0|120.0|396.0|933.0|398.0|671.0|125.0|329.0|164.0|5788.0|1060.0|
|Erkek ve 22-24 ve Okuma Yazma Bilen|2019|232198.0|185027.0|101857.0|82494.0|60476.0|180883.0|231482.0|239246.0|62896.0|95457.0|111556.0|1936810.0|353238.0|
|Erkek ve 22-24 ve Okuma Yazma Bilmeyen|2019|211.0|55.0|21.0|54.0|8.0|104.0|66.0|426.0|63.0|44.0|221.0|1511.0|238.0|
|Erkek ve 25-29 ve Bilinmeyen|2019|2492.0|1513.0|342.0|289.0|721.0|2169.0|1032.0|1569.0|667.0|696.0|385.0|15424.0|3549.0|
|Erkek ve 25-29 ve Okuma Yazma Bilen|2019|362042.0|297138.0|154767.0|128966.0|91589.0|299743.0|375814.0|386174.0|93414.0|137593.0|177824.0|3115668.0|610604.0|
|Erkek ve 25-29 ve Okuma Yazma Bilmeyen|2019|979.0|523.0|353.0|272.0|222.0|538.0|627.0|1759.0|500.0|301.0|762.0|8148.0|1312.0|
|Erkek ve 30-34 ve Bilinmeyen|2019|4205.0|2375.0|474.0|531.0|795.0|2704.0|1631.0|2654.0|985.0|955.0|709.0|24463.0|6445.0|
|Erkek ve 30-34 ve Okuma Yazma Bilen|2019|375827.0|307414.0|154358.0|130353.0|89407.0|312132.0|387722.0|333014.0|78475.0|142121.0|148010.0|3099517.0|640684.0|
|Erkek ve 30-34 ve Okuma Yazma Bilmeyen|2019|1541.0|737.0|600.0|381.0|436.0|788.0|1120.0|2754.0|698.0|497.0|953.0|12530.0|2025.0|
|Erkek ve 35-39 ve Bilinmeyen|2019|4588.0|2023.0|576.0|530.0|901.0|2188.0|1738.0|2827.0|922.0|991.0|800.0|24478.0|6394.0|
|Erkek ve 35-39 ve Okuma Yazma Bilen|2019|407338.0|317433.0|164850.0|141625.0|93641.0|334558.0|423030.0|296009.0|73717.0|149645.0|137415.0|3217217.0|677956.0|
|Erkek ve 35-39 ve Okuma Yazma Bilmeyen|2019|1790.0|795.0|780.0|481.0|545.0|898.0|1202.0|3149.0|719.0|615.0|1222.0|14059.0|1863.0|
|Erkek ve 40-44 ve Bilinmeyen|2019|3752.0|1702.0|641.0|508.0|953.0|1866.0|1837.0|2216.0|608.0|1016.0|692.0|21407.0|5616.0|
|Erkek ve 40-44 ve Okuma Yazma Bilen|2019|380604.0|292376.0|158017.0|136024.0|89265.0|308977.0|402524.0|241288.0|61531.0|135789.0|111589.0|2929356.0|611372.0|
|Erkek ve 40-44 ve Okuma Yazma Bilmeyen|2019|1585.0|666.0|782.0|465.0|472.0|820.0|1091.0|2511.0|610.0|545.0|1071.0|12210.0|1592.0|
|Erkek ve 45-49 ve Bilinmeyen|2019|3535.0|1714.0|764.0|608.0|1043.0|2032.0|2114.0|2089.0|547.0|969.0|732.0|22067.0|5920.0|
|Erkek ve 45-49 ve Okuma Yazma Bilen|2019|354235.0|268886.0|150172.0|126256.0|90037.0|279737.0|371775.0|207907.0|61125.0|127594.0|105824.0|2694993.0|551445.0|
|Erkek ve 45-49 ve Okuma Yazma Bilmeyen|2019|1516.0|662.0|706.0|518.0|576.0|800.0|1005.0|2469.0|638.0|501.0|1013.0|11728.0|1324.0|
|Erkek ve 50-54 ve Bilinmeyen|2019|3701.0|2091.0|1115.0|773.0|1175.0|2369.0|2549.0|1590.0|397.0|1265.0|615.0|23326.0|5686.0|
|Erkek ve 50-54 ve Okuma Yazma Bilen|2019|301600.0|234530.0|142447.0|118462.0|87343.0|239931.0|336643.0|158869.0|47500.0|114090.0|82714.0|2296314.0|432185.0|
|Erkek ve 50-54 ve Okuma Yazma Bilmeyen|2019|1449.0|585.0|711.0|524.0|485.0|812.0|1132.0|2551.0|614.0|439.0|1176.0|11907.0|1429.0|
|Erkek ve 55-59 ve Bilinmeyen|2019|3793.0|2604.0|1260.0|988.0|1295.0|2711.0|3250.0|1362.0|469.0|1672.0|612.0|25875.0|5859.0|
|Erkek ve 55-59 ve Okuma Yazma Bilen|2019|276861.0|214299.0|146855.0|115442.0|88098.0|218349.0|325139.0|134434.0|45241.0|106741.0|76276.0|2109727.0|361992.0|
|Erkek ve 55-59 ve Okuma Yazma Bilmeyen|2019|1926.0|776.0|923.0|668.0|605.0|1096.0|1455.0|3105.0|940.0|597.0|1769.0|15843.0|1983.0|
|Erkek ve 6-13 ve Bilinmeyen|2019|6512.0|4574.0|2039.0|1591.0|1800.0|4278.0|5061.0|4213.0|868.0|2523.0|1421.0|41894.0|7014.0|
|Erkek ve 6-13 ve Okuma Yazma Bilen|2019|704820.0|471069.0|237598.0|172803.0|134766.0|460014.0|556301.0|811756.0|161751.0|247972.0|303483.0|5146061.0|883728.0|
|Erkek ve 6-13 ve Okuma Yazma Bilmeyen|2019|29.0|19.0|6.0|3.0|1.0|11.0|20.0|14.0|4.0|9.0|8.0|168.0|44.0|
|Erkek ve 60-64 ve Bilinmeyen|2019|3593.0|2566.0|1110.0|1072.0|997.0|2561.0|3270.0|1133.0|442.0|1700.0|522.0|24009.0|5043.0|
