|||Sütunlar||||||||||||
Satırlar|||Akdeniz-TR6|Batı Anadolu-TR5|Batı Karadeniz-TR8|Batı Marmara-TR2|Doğu Karadeniz-TR9|Doğu Marmara-TR4|Ege-TR3|Güneydoğu Anadolu-TRC|Kuzeydoğu Anadolu-TRA|Orta Anadolu-TR7|Ortadoğu Anadolu-TRB|İstanbul-TR1|
|||||||||||||||
|||||||||||||||
Bitirilen Eğitim Düzeyi|Erkek ve 14-17 ve Bilinmeyen|2019|798.0|444.0|169.0|77.0|354.0|477.0|368.0|923.0|70.0|398.0|162.0|1397.0|
|Erkek ve 14-17 ve Lise Ve Dengi Meslek Okulu|2019|1225.0|642.0|403.0|221.0|295.0|616.0|620.0|2745.0|672.0|451.0|1714.0|1105.0|
|Erkek ve 14-17 ve Okuma Yazma Bilen Fakat Bir Okul Bitirmeyen|2019|3356.0|1742.0|667.0|627.0|1096.0|1255.0|2006.0|6180.0|888.0|1847.0|2373.0|3859.0|
|Erkek ve 14-17 ve Okuma Yazma Bilmeyen|2019|9.0|2.0|1.0|||5.0|4.0|20.0||1.0|2.0|6.0|
|Erkek ve 14-17 ve Ortaokul Veya Dengi Meslek Ortaokul|2019|309067.0|215507.0|118699.0|79659.0|66869.0|209967.0|254382.0|332186.0|72540.0|115969.0|135250.0|400062.0|
|Erkek ve 14-17 ve İlkokul|2019|19755.0|9771.0|4398.0|4651.0|1771.0|9107.0|12786.0|29954.0|7521.0|5056.0|13301.0|17479.0|
|Erkek ve 18-21 ve Bilinmeyen|2019|1186.0|596.0|232.0|148.0|605.0|773.0|700.0|1260.0|187.0|647.0|346.0|1392.0|
|Erkek ve 18-21 ve Lise Ve Dengi Meslek Okulu|2019|203887.0|175750.0|100942.0|76822.0|59899.0|170102.0|199113.0|154197.0|47784.0|92194.0|80687.0|280323.0|
|Erkek ve 18-21 ve Okuma Yazma Bilen Fakat Bir Okul Bitirmeyen|2019|2817.0|1204.0|525.0|621.0|715.0|954.0|1552.0|4895.0|983.0|1336.0|1811.0|2734.0|
|Erkek ve 18-21 ve Okuma Yazma Bilmeyen|2019|89.0|17.0|11.0|16.0|5.0|53.0|44.0|193.0|33.0|75.0|151.0|77.0|
|Erkek ve 18-21 ve Ortaokul Veya Dengi Meslek Ortaokul|2019|114869.0|73847.0|37996.0|34795.0|19090.0|67196.0|98435.0|176437.0|42709.0|43351.0|69940.0|149344.0|
|Erkek ve 18-21 ve Yüksekokul Veya Fakülte|2019|9167.0|6360.0|4784.0|3619.0|2446.0|6072.0|9026.0|5787.0|1652.0|3419.0|3148.0|15736.0|
|Erkek ve 18-21 ve İlkokul|2019|748.0|486.0|188.0|299.0|100.0|374.0|513.0|1534.0|549.0|206.0|1065.0|1195.0|
|Erkek ve 18-21 ve İlköğretim|2019|302.0|117.0|93.0|174.0|30.0|154.0|227.0|612.0|138.0|106.0|214.0|376.0|
|Erkek ve 22-24 ve Bilinmeyen|2019|1026.0|401.0|165.0|120.0|396.0|933.0|398.0|671.0|125.0|329.0|164.0|1060.0|
|Erkek ve 22-24 ve Lise Ve Dengi Meslek Okulu|2019|95240.0|83426.0|46161.0|37610.0|29099.0|88025.0|99218.0|74554.0|23706.0|42100.0|42239.0|136832.0|
|Erkek ve 22-24 ve Okuma Yazma Bilen Fakat Bir Okul Bitirmeyen|2019|3263.0|1267.0|641.0|833.0|592.0|1357.0|1993.0|6704.0|2313.0|1215.0|3122.0|4761.0|
|Erkek ve 22-24 ve Okuma Yazma Bilmeyen|2019|211.0|55.0|21.0|54.0|8.0|104.0|66.0|426.0|63.0|44.0|221.0|238.0|
|Erkek ve 22-24 ve Ortaokul Veya Dengi Meslek Ortaokul|2019|75947.0|48381.0|27438.0|21086.0|14199.0|47685.0|72073.0|109589.0|22476.0|28818.0|41134.0|112879.0|
|Erkek ve 22-24 ve Yüksek Lisans (5 Veya 6 Yıllık Fakülteler Dahil)|2019|974.0|988.0|452.0|312.0|179.0|725.0|992.0|655.0|234.0|465.0|397.0|1267.0|
|Erkek ve 22-24 ve Yüksekokul Veya Fakülte|2019|53510.0|49948.0|26493.0|21597.0|16178.0|41407.0|55240.0|39957.0|12279.0|22080.0|21393.0|91956.0|
|Erkek ve 22-24 ve İlkokul|2019|1417.0|494.0|264.0|393.0|94.0|635.0|771.0|3574.0|969.0|295.0|1596.0|2693.0|
|Erkek ve 22-24 ve İlköğretim|2019|1847.0|523.0|408.0|663.0|135.0|1049.0|1195.0|4213.0|919.0|484.0|1675.0|2850.0|
|Erkek ve 25-29 ve Bilinmeyen|2019|2492.0|1513.0|342.0|289.0|721.0|2169.0|1032.0|1569.0|667.0|696.0|385.0|3549.0|
|Erkek ve 25-29 ve Doktora|2019|49.0|62.0|52.0|16.0|38.0|27.0|53.0|25.0|35.0|37.0|44.0|113.0|
|Erkek ve 25-29 ve Lise Ve Dengi Meslek Okulu|2019|95175.0|77518.0|43814.0|39834.0|27766.0|95208.0|105735.0|83384.0|22491.0|38483.0|47333.0|152301.0|
|Erkek ve 25-29 ve Okuma Yazma Bilen Fakat Bir Okul Bitirmeyen|2019|8032.0|3252.0|1399.0|1997.0|828.0|3343.0|5275.0|18467.0|5448.0|1965.0|7557.0|14713.0|
|Erkek ve 25-29 ve Okuma Yazma Bilmeyen|2019|979.0|523.0|353.0|272.0|222.0|538.0|627.0|1759.0|500.0|301.0|762.0|1312.0|
|Erkek ve 25-29 ve Ortaokul Veya Dengi Meslek Ortaokul|2019|92657.0|60001.0|34665.0|25884.0|18147.0|62607.0|87900.0|115294.0|21164.0|33912.0|42403.0|141367.0|
|Erkek ve 25-29 ve Yüksek Lisans (5 Veya 6 Yıllık Fakülteler Dahil)|2019|7417.0|10460.0|3498.0|2816.0|2116.0|6364.0|8657.0|6429.0|2335.0|3198.0|3322.0|17907.0|
|Erkek ve 25-29 ve Yüksekokul Veya Fakülte|2019|116833.0|121151.0|55646.0|45153.0|35219.0|107341.0|127457.0|111151.0|30352.0|44983.0|57103.0|226225.0|
|Erkek ve 25-29 ve İlkokul|2019|2781.0|910.0|419.0|684.0|168.0|1325.0|1576.0|5829.0|1112.0|469.0|2108.0|6366.0|
|Erkek ve 25-29 ve İlköğretim|2019|39098.0|23784.0|15274.0|12582.0|7307.0|23528.0|39161.0|45595.0|10477.0|14546.0|17954.0|51612.0|
|Erkek ve 30-34 ve Bilinmeyen|2019|4205.0|2375.0|474.0|531.0|795.0|2704.0|1631.0|2654.0|985.0|955.0|709.0|6445.0|
|Erkek ve 30-34 ve Doktora|2019|791.0|1388.0|737.0|365.0|465.0|779.0|912.0|481.0|479.0|561.0|522.0|1628.0|
|Erkek ve 30-34 ve Lise Ve Dengi Meslek Okulu|2019|124145.0|97383.0|53333.0|45779.0|33361.0|116390.0|128580.0|89970.0|21859.0|49624.0|43395.0|192437.0|
|Erkek ve 30-34 ve Okuma Yazma Bilen Fakat Bir Okul Bitirmeyen|2019|5421.0|1793.0|968.0|1091.0|430.0|2021.0|3360.0|12472.0|3326.0|777.0|4375.0|9599.0|
|Erkek ve 30-34 ve Okuma Yazma Bilmeyen|2019|1541.0|737.0|600.0|381.0|436.0|788.0|1120.0|2754.0|698.0|497.0|953.0|2025.0|
|Erkek ve 30-34 ve Ortaokul Veya Dengi Meslek Ortaokul|2019|38119.0|27184.0|14309.0|11535.0|7735.0|27809.0|38285.0|38896.0|7121.0|14603.0|15468.0|65409.0|
