,Date,Daily Test,Total Test,Daily Cases,Total Case,Total Active Case,Daily Deaths,Total Death,% Deaths/Cases Ratio,Daily Recovering,Total Recovering,Total Intensive Care,Total Intubated,% Test/Case Ratio,Daily Case Ranking
0,11-27 March,47823,47823,5698,5698,5564,92,92,1.6146016146016147,42,42,0,0,11.91476904418376,1
1,28 March,7641,55464,1704,7402,7224,16,108,0.9389671361502347,28,70,445,309,22.300745975657637,41
2,29 March,9982,65446,1815,9217,8981,23,131,1.2672176308539946,35,105,568,394,18.182728912041675,39
3,30 March,11535,76981,1610,10827,10497,37,168,2.298136645962733,57,162,725,523,13.957520589510185,47
4,31 March,15422,92403,2704,13531,13074,46,214,1.7011834319526626,81,243,847,622,17.533393852937362,26
5,1 April,14396,106799,2148,15679,15069,63,277,2.9329608938547485,90,333,979,692,14.920811336482357,33
6,2 April,18757,125556,2456,18135,17364,79,356,3.2166123778501627,82,415,1101,783,13.093778322759503,28
7,3 April,16160,141716,2786,20921,20012,69,425,2.4766690595836325,69,484,1251,867,17.240099009900987,25
8,4 April,19664,161380,3013,23934,22647,76,501,2.522402920677066,302,786,1311,909,15.322416598860864,22
9,5 April,20065,181445,3135,27069,25453,73,574,2.328548644338118,256,1042,1381,935,15.624221280837277,18
10,6 April,21400,202845,3148,30217,28242,75,649,2.3824650571791612,284,1326,1415,966,14.710280373831775,17
11,7 April,20023,222868,3892,34109,31802,76,725,1.9527235354573484,256,1582,1474,987,19.43764670628777,15
12,8 April,24900,247768,4117,38226,35568,87,812,2.113189215448142,264,1846,1492,995,16.534136546184737,10
13,9 April,28578,276346,4056,42282,39232,96,908,2.366863905325444,296,2142,1552,1017,14.192735670795717,13
14,10 April,30864,307210,4747,47029,43600,98,1006,2.064461765325469,281,2423,1667,1062,15.38037843442198,5
15,11 April,33170,340380,5138,52167,48101,95,1101,1.8489684702218763,542,2965,1626,1021,15.489900512511307,2
16,12 April,35720,376100,4789,56956,52312,97,1198,2.0254750469826686,481,3446,1665,978,13.407054871220605,4
17,13 April,34456,410556,4093,61049,55796,98,1296,2.394331785976057,511,3957,1786,1063,11.87891804039935,11
18,14 April,33070,443626,4062,65111,58909,107,1403,2.634170359428853,842,4799,1809,1087,12.283035984275777,12
19,15 April,34090,477716,4281,69392,62200,115,1518,2.6862882504087833,875,5674,1820,1052,12.55793487826342,9
20,16 April,40427,518143,4801,74193,65461,125,1643,2.603624244948969,1415,7089,1854,1040,11.875726618349123,3
21,17 April,40270,558413,4353,78546,68146,126,1769,2.894555478980014,1542,8631,1845,1014,10.809535634467347,8
22,18 April,40520,598933,3783,82329,69986,121,1890,3.198519693365054,1822,10453,1894,1054,9.336130306021717,16
23,19 April,35344,634277,3977,86306,72313,127,2017,3.193361830525522,1523,11976,1922,1031,11.252263467632414,14
24,20 April,39703,673980,4674,90980,75410,123,2140,2.631578947368421,1454,13430,1909,1033,11.772410145329069,6
25,21 April,39429,713409,4611,95591,78414,119,2259,2.580785079158534,1488,14918,1865,1006,11.694438103933653,7
26,22 April,37535,750944,3083,98674,79821,117,2376,3.7950048653908532,1559,16477,1814,985,8.213667243905688,21
27,23 April,40962,791906,3116,101790,80808,115,2491,3.690629011553274,2014,18491,1816,982,7.607050436990381,20
28,24 April,38351,830257,3122,104912,80575,109,2600,3.4913516976297245,3246,21737,1790,929,8.14059607311413,19
29,25 April,38308,868565,2861,107773,79485,106,2706,3.704998252359315,3845,25582,1782,900,7.468413908322022,24
30,26 April,30177,898742,2357,110130,78185,99,2805,4.2002545608824775,3558,29140,1776,883,7.810584219770024,30
31,27 April,20143,918885,2131,112261,75570,95,2900,4.458000938526514,4651,33791,1736,882,10.57935759320856,34
32,28 April,29230,948115,2392,114653,72852,92,2992,3.8461538461538463,5018,38809,1621,845,8.183373246664386,29
